Branch Name,Branch Code
Head Office,10001
Adama Branch,10002
Asela Branch,10003
Kersa Main Branch,10004
Hora Arsedi Branch,10005
Shashemene Branch,10006
Nekemte Branch,10007
Merkato Branch,10008
Ambo Branch,10009
Hawas Branch,10010
Burayu Branch,10011
Sheger Branch,10012
Dire Dawa Branch,10013
Seglen Ilu Branch,10014
Bule Hora Branch,10015
Dambi Dollo Branch,10016
Robe Branch,10017
Torban Obo Branch,10018
Gulele Branch,10019
Sebeta Ayo Branch,10020
Weliso Branch,10021
Bole-Nura Hera Branch,10022
Sululta Branch,10023
Mojo Branch,10024
Arsi Negelle Branch,10025
Kersa Arsi Branch,10026
Bokoji Branch,10027
Eteya Branch,10028
Gimbi Branch,10029
Hasasa Branch,10030
Kuyyu Branch,10031
Sendafa Bake Branch,10032
Shenen Gibe Branch,10033
Bedessa Branch,10034
Gelan Branch,10035
Kolfe Branch,10036
Chiro Branch,10037
Jigjiga Branch,10038
Guliso Branch,10039
Dilla Branch,10040
Adola Branch,10041
Gefersa Branch,10042
Meki Branch,10043
Holeta Branch,10044
Afren Kelo Branch,10045
Hundene Branch,10046
Babile Branch,10047
Oda Branch,10048
Togo Wuchale Branch,10049
Anger Gute Branch,10050
Ginnir Branch,10051
Odo Shakiso Branch,10052
Chancho Branch,10053
Guduru Branch,10054
Tulu Bolo Branch,10055
Bole Michael Branch,10056
Gerji Branch,10057
Gedo Branch,10058
Robe Dedea Branch,10059
Gidami Branch,10060
Gumbichu Branch,10061
Abomsa Branch,10062
Sabian Branch,10063
Bombtera Branch,10064
Shirka Branch,10065
Lega Tafo Branch,10066
Hawassa Branch,10067
Gelemso Branch,10068
Uta Wayyu Branch,10069
Karra Qallu Branch,10070
Saris Branch,10071
Kemise Branch,10072
Bakannisa Branch,10073
Haramaya Branch,10074
Akaki Branch,10075
Boku Shenen Branch,10076
Humera Branch,10077
Ginchi Branch,10078
Furi Branch,10079
Fiche Branch,10080
Kotobe Branch,10081
Kebena Branch,10082
Sebeta Hawas Branch,10083
Hirna Branch,10084
Deder Branch,10085
Mekele Branch,10086
Gonder Branch,10087
Bethel Branch,10088
Bahir Dar Branch,10089
Dessie Branch,10090
Guder Branch,10091
Sheno Branch,10092
Hosana Branch,10093
Wolayita Soddo Branch,10094
Addisu Gebeya Branch,10095
Gojam Berenda Branch,10096
Ayer Tena Branch,10097
Nedjo Branch,10098
Dodola Branch,10099
Hafatessa Branch,10100
Kombolcha Branch,10101
Erer Branch,10102
Huruta Branch,10103
Ijo Branch,10104
Metema Branch,10105
Negele Borena Branch,10106
22 Mazoria Branch,10107
Leka Branch,10108
Limu Genet Branch,10109
Tirunesh Dibaba Branch,10110
Aba Nefso Branch,10111
Lafto Branch,10112
Aba Mela Branch,10113
Bedelle Branch,10114
Kofele Branch,10115
Agaro Branch,10116
Bole Medanealem Branch,10117
Churchill Branch,10118
Gofa Mazoria Branch,10119
Shambu Branch,10120
Meskel Flower Branch,10121
Chole Branch,10122
Shire Branch,10123
Arboye Branch,10124
Mesalemia Branch,10125
Gotera Branch,10126
Sire Arsi Branch,10127
Asko Branch,10128
Moyale Branch,10129
Addele Branch,10130
Diksis Branch,10131
Agemsa Branch,10132
Yai Gulele Branch,10133
Sagure Branch,10134
Habe Branch,10135
Fura Branch,10136
Ferensay Legasiyon Br,10137
Asosa Branch,10138
Yayyo Branch,10139
Abebie Tufa Branch,10140
Gambella Branch,10141
Yabello Branch,10142
Bake Branch,10143
Dire Hinchini Branch,10144
Goba Branch,10145
Adaba Branch,10146
Muka Turi Branch,10147
Djibruk Branch,10148
Gurd Shola Branch,10149
Batu Branch,10150
CMC Branch,10151
Bako Tibe Branch,10152
Mizan Aman Branch,10153
Oda Nabe Branch,10154
Birbirsa Branch,10155
Leman Branch,10156
Derra Branch,10157
Wayyu Branch,10158
Tepi Branch,10159
Chora Branch,10160
Gida Ayana Branch,10161
Wolkite Branch,10162
Gasara Branch,10163
Bole Atlas Branch,10164
Mogor Branch,10165
Jamo Branch,10166
Uraga Branch,10167
Adea Branch,10168
Lamberet Branch,10169
Dhaka Adi Branch,10170
Kilole Branch,10171
Siltana Branch,10172
Wirtu Merkato Branch,10173
Gofa Gabriel Branch,10174
Dale Dembel Branch,10175
Arba Minch Branch,10176
Wasarbi Branch,10177
Karayu Branch,10178
Shenen Jida Branch,10179
Haile Gebre Branch,10180
Guje Branch,10181
Melka Ballo Branch,10182
Nonno Branch,10183
Awash Sebat Kilo,10184
Dolo Bidena Branch,10185
Jimma Arjo Branch,10186
Ejere Branch,10187
Awash Melkasa Branch,10188
Bosat Branch,10189
Dodota Branch,10190
Bote Branch,10191
Awasho Branch,10192
Warra Jarso Branch,10193
Jahan Ameya Branch,10194
Midakegni Branch,10195
Bole Bulbula Branch,10196
Agarfa Branch,10197
Darimu Branch,10198
Asandabo Branch,10199
Ukke Branch,10200
Chanqa Birbir Branch,10201
Leka Dulacha Branch,10202
Warqa Branch,10203
Nunu Kumba Branch,10204
Jimma Rare Branch,10205
Qurqura Branch,10206
Sibu Sire Branch,10207
Ganji Branch,10208
Mandi Branch,10209
Begi Branch,10210
Kiltu Karra Branch,10211
Dambi Branch,10212
Jiren Branch,10213
Dawo Branch,10214
Soddo Dachi Branch,10215
Meta Walkite Branch,10216
Oda Karra Branch,10217
Muka Arara Branch,10218
Hababo Guduru Branch,10219
Ilu Gelan Branch,10220
Qeto Machara Branch,10221
Finfine Branch,10222
Lume Branch,10223
Dolo Mana Branch,10224
Mulo Branch,10225
Xicho Branch,10226
Goro Branch,10227
Mada Walabu Branch,10228
Harufa Branch,10229
Anfillo Branch,10230
Qore Branch,10231
Haro Dumal Branch,10232
Harana Buluq Branch,10233
Kula Branch,10234
Chalchali Branch,10235
Sadan Ekka Branch,10236
Alge Sachi Branch,10237
Shararo Branch,10238
Laga Oda Branch,10239
Qarcha Branch,10240
Ada Barga Branch,10241
Chinaksen Branch,10242
Gode Branch,10243
Boke Xiqo Branch,10244
Badano Branch,10245
Aw-Abadir Branch,10246
Chalanqo Branch,10247
Kali Branch,10248
Sulula Garbi Branch,10249
Negelle Arba Gugu Br,10250
Gololcha Branch,10251
Gera Branch,10252
Tullu Ejersa Branch,10253
Chilalo Branch,10254
Aleltu Branch,10255
Limu Seqqa Branch,10256
Ela Bala Branch,10257
Eka Abado Branch,10258
Tabor Branch,10259
Bale Gesgar Branch,10260
Bole Lami Branch,10261
Abuna Branch,10262
Jaldu Branch,10263
Adami Branch,10264
Ajje Branch,10265
Mujja Branch,10266
Derartu Tullu Branch,10267
Baroda Branch,10268
Gara Muleta Branch,10269
Sadan Soddo Branch,10270
Sayo Nole Branch,10271
Karra Xuxxo Branch,10272
Kiramu Branch,10273
Amuru Branch,10274
Gore Branch,10275
Melka Jebdu Branch,10276
Fugnan Bira Branch,10277
Wanji Branch,10278
Bulbula Branch,10279
Qechema Branch,10280
Karamile Branch,10281
Greek Camp Branch,10282
Megalla Branch,10283
Weltea Branch,10284
Chafe Branch,10285
Jarra Branch,10286
Kokosa Branch,10287
Heban Arsi Branch,10288
Bantu Branch,10289
Bokku Branch,10290
Kombe Branch,10291
Labu Branch,10292
Karra Allo Branch,10293
Mechara Branch,10294
Jahan Jarso Branch,10295
Shenen Dhugo Branch,10296
Taji Branch,10297
Yaya Gulale Branch,10298
Bore Branch,10299
Asgori Branch,10300
Olonkomi Branch,10301
Shufune Branch,10302
Kutaye Branch,10303
Torban Wale Branch,10304
Qorke Karabu Branch,10305
Ayetu Branch,10306
Odo Liben Branch,10307
Melka Gefersa Branch,10308
Ochocha Branch,10309
Butajira Branch,10310
Yirgachafe Branch,10311
Gafarsa Nono,10312
Aba Jifar Branch,10313
Mettu Branch,10314
Bake Jama Branch,10315
Bila Branch,10316
Hawa Gelan Branch,10317
Tullu Gana Branch,10318
Ayira Branch,10319
Liban Jawi Branch,10320
Salgan Eggu Branch,10321
Karra Qore Branch,10322
Dhadacha Arara Branch,10323
Abba Jama Branch,10324
Boru Jawi Branch,10325
Dabe Soloke Branch,10326
Oda Bisil Branch,10327
Dire Sololiya,10328
Sechduna Branch,10329
Hurufa Rare Branch,10330
Chafe Arara Branch,10331
Kuyera Branch,10332
Qajela Doyo Branch,10333
GeneralWakoGutu Branch,10334
Ali Branch,10335
Halaba Kulito Branch,10336
Dolosebro Branch,10337
Kobo Branch,10338
Jara Abageda Branch,10339
Michata Branch,10340
Ahmed Imam Branch,10341
Hirmata Branch,10342
Merde Branch,10343
Bonaya Boshe Branch,10344
Gudetu Arjo Branch,10345
Oda Bilbila Branch,10346
Bishan Guracha Branch,10347
Koka Branch,10348
Burka Branch,10349
Ganda Hara Branch,10350
Kiltu Lume Branch,10351
Warka Branch,10352
Abichu Nya'a Branch,10353
Gawassa Branch,10354
Tufa Muna Branch,10355
Shabe Branch,10356
Awetu Branch,10357
Gachi Branch,10358
Sokoru Branch,10359
Omo Nada Branch,10360
Goro Muti Branch,10361
Makkat Al-Mukkarama,10362
Tana Branch,10363
Bole Arabsa Branch,10364
Xadacha Branch,10365
Anole Micro Branch,10366
Meraro Branch,10367
Burka Walabu Branch,10368
Hara Kello Branch,10369
Gara Baru Branch,10370
Ogolcho Branch,10371
Haro Adi Branch,10372
Baro Korma Branch,10373
JAJA BRANCH,10374
Doba Branch,10375
Wadessa Branch,10376
Sheik Mohammed Reshad,10377
Sumuda Branch,10378
Wadera Branch,10379
Taltale Branch,10380
Ganda Wuha Branch,10381
Qebe Branch,10382
Debre Markos Branch,10383
Boku Migra Bake Branch,10384
Goro Qerensa Branch,10385
Bilile Branch,10386
Sigmo Branch,10387
Handhura Tulama Branch,10388
Aksum Branch,10389
Adigrat Branch,10390
Laga Bari Branch,10391
Wara Ganu Branch,10392
Biftu Branch,10393
Bensa Daye Branch,10394
Sora Lume Branch,10395
Saxamma Branch,10396
Elemo Qiltu Branch,10397
Agamsa Migir Branch,10398
Babo Gambel Branch,10399
Tullu Farda,10400
Harato Branch,10401
Mayu Muluke,10402
Dedo Branch,10403
Chawaqa Branch,10404
Harbu Branch,10405
Shabu Ejersa Branch,10406
Fedis Branch,10407
Burka Tirtira Branch,10408
Mufti Dawud Branch,10409
Hikma Branch,10410
Abubeker Al-Siddiq Br,10411
Bereka Branch,10412
Ansar Branch,10413
Haramain Branch,10414
Bilal Branch,10415
Hamza Mesgid Branch,10416
Halal Branch,10417
Medinat Al-Munawer Br,10418
Fethi Mesjid Branch,10419
Baro Tumsa Branch,10420
Kello Mesqela Branch,10421
Debasso Branch,10422
OMER IBN AL-KHATTAB Br,10423
Robale Branch,10424
Tulu Dimtu Branch,10425
Iman Branch,10426
Selam Branch,10427
Haile Fida Branch,10428
Ummu-Ayman Branch,10429
Sheik Bekri Sapello,10430
Sinqee Branch,10431
Liban Chukala Branch,10432
Jagema Bedhane Branch,10433
TEQWA BRANCH,10434
Marwa Branch,10435
Salahadin Ali-Ayub,10436
Beriso Dukale Micro,10437
Yirgalem Branch,10438
Doyo Gena Branch,10439
Hadero Branch,10440
Harru Maru Branch,10441
Bure Branch,10442
Shala Branch,10443
Melba Branch,10444
Bakalca Branch,10445
Bishoftu Branch,10446
Amana Branch,10447
Qacha Branch,10448
Beshale Branch,10449
Bori Branch,10450
Dulo Branch,10451
Tiksa Jima Branch,10452
Qale Branch,10453
Sofomar Branch,10454
Birmaji Branch,10455
Burka Wayu Branch,10456
Horsisa Branch,10457
Halchisa Branch,10458
Jate Branch,10459
Lemo Branch,10460
Jibat Branch,10461
Dollo Ado Branch,10462
Haro Wanchi Branch,10463
Arefa Branch,10464
Awaro Branch,10465
Airport Forex Bureau,10466
Serbo Branch,10467
Yebu Branch,10468
Fincha'a Branch,10469
Melka Debana Branch,10470
Sedecha Branch,10471
Irbu Branch,10472
Digital Banking,10473
Bole Airport Branch,10474
Madaro Branch,10475
Nagele Hasasa Branch,10476
Sanate Branch,10477
Ganda Qore Branch,10478
Sor Micro Branch,10479
Newland Micro Branch,10480
Damo Dadi Branch,10481
Kura Jida Branch,10482
Kefira Branch,10483
Imam Ahmed Mesjid Bran,10484
Abdisa Aga Branch,10485
Nur Branch,10486
Laku Branch,10487
Madha Galma Branch,10488
Migira Branch,10489
Bole Cargo Branch,10490
Conolel Bezabih Petros,10491
Durame Branch,10492
Shinshicho Branch,10493
Areka Branch,10494
Bonosha Branch,10495
Bui Branch,10496
Kela Branch,10497
Enseno Branch,10498
Katta Branch,10499
Seka Chokorsa Branch,10500
Mustafa Harawe Branch,10501
Bure Ilu Branch,10502
Hurumu Branch,10503
Bonga Branch,10504
Miesso Branch,10505
Ancher Branch,10506
Gemechis Branch,10507
Chafe Anane Branch,10508
Yai Goro Branch,10509
Hara Dembel Branch,10510
Sinana Branch,10511
Kiltu Dema Branch,10512
Oda Boqota,10513
Dagaga Branch,10514
Burqa Jato Branch,10515
Al-Rahma Branch,10516
Taiwan Branch,10517
Bulullo Branch,10518
Oda Bultum Branch,10519
Garu Hira Branch,10520
Digalu Branch,10521
Tijo Branch,10522
Barecha Branch,10523
Ego Branch,10524
Shafeta Branch,10525
Alamura Branch,10526
Daka Branch,10527
Nejashi Branch,10528
Mako Bili Branch,10529
Hilal Branch,10530
Nesiha Branch,10531
Gedeb Branch,10532
Kamona Branch,10533
Dhumuga Branch,10534
Milqaye Branch,10535
Al-Bukhari Branch,10536
Rabadori Branch,10537
Butta Branch,10538
Gara Duba Branch,10539
Wabari Branch,10540
Ramadan Branch,10541
Kusaye Branch,10542
Axale Jatani Branch,10543
Qoche Branch,10544
Dhaga Bora Branch,10545
Furkan Branch,10546
Amal Branch,10547
Guge Branch,10548
Tobba Branch,10549
Abebech Gobana Branch,10550
Damboya Branch,10551
Boditi Branch,10552
Konso Branch,10553
Jajura Branch,10554
Hurufa Farado Branch,10555
Tullo Branch,10556
Lami Industrial park,10557
Gara Bolo Branch,10558
Itti Mako Branch,10559
Mammo Mazamir Branch,10560
Bekerware Branch,10561
Sankura Branch,10562
Gesupa Branch,10563
Logia-Sultan-Ali Mirah,10564
Boke Branch,10565
Mina Branch,10566
Hayyu Branch,10567
Lega Saqo Branch,10568
Darraba Bido Branch,10569
Abba Sena Branch,10570
Kolobo Branch,10571
Homecho Branch,10572
Iqra Branch,10573
Fejir Branch,10574
Folle Branch,10575
Didimtu Branch,10576
Dukem industry zone,10577
Murtiguto Branch,10578
Wollo Kombolcha Branch,10579
Tona Branch,10580
Lega Billawo Branch,10581
Debre Birhan Branch,10582
DERARO BRANCH,10583
AL-Nasir Branch,10584
Tiyo Branch,10585
Asabot Branch,10586
Haro Charchar Branch,10587
Burqa Dhintu Branch,10588
Figa Branch,10589
Hidhabu Abote Branch,10590
Bedhatu Branch,10591
Torban Garba Branch,10592
Qulubi Branch,10593
Gurmu Branch,10594
Abdi Qophe Branch,10595
Wato Branch,10596
Ilanso Hallo Branch,10597
Fitala Branch,10598
Catherine Hamlin,10599
Dawuro Branch,10600
Geja Geribo Branch,10601
Lisana Branch,10602
Haya Dima Branch,10603
Gara Bushu Branch,10604
Garba Guracha Branch,10605
Lauret Tsegaye,10606
Midhaga Branch,10607
Kurfachale Branch,10608
Dire Jitu Branch,10609
Badr Branch,10610
Artu Branch,10611
Heraro Branch,10612
Birbirsa Qaraxa Branch,10613
Meja Demma Branch,10614
Melka Oda Branch,10615
Dida Boqe Branch,10616
Dinsho Branch,10617
Dambala Micro Branch,10618
Mechaf Tulama Branch,10619
Burqa Shobbe Branch,10620
Edao Boru Branch,10621
Prof. Gebissa,10622
Soka Branch,10623
Boru Bilo Branch,10624
Maliyu Branch,10625
Buludo Branch,10626
Aleta Wondo Branch,10627
Koromi Branch,10628
Mogle Branch,10629
Lugo Branch,10630
Ebisa Adugna,10631
Raso Branch,10632
Aba Gemechis Branch,10633
Abishe Gerba Branch,10634
Urji Branch,10635
Tunto Eco Branch,10636
Hamus Gebeya Eco Bran,10637
Hambecho Eco Branch,10638
Dalatti Branch,10639
Ali Bira Branch,10640
Chuko Branch,10641
Chelelektu Branch,10642
Golja Branch,10643
Injibara Branch,10644
Melka Hurbu Branch,10645
Roge Branch,10646
Gara Dhanqu Branch,10647
Koshe Mareko Branch,10648
Tulu Kurfo Eco Branch,10649
Hambiso Eco Branch,10650
Dubar Eco Branch,10651
Dega Gora Eco Branch,10652
Arba Eco Branch,10653
Defo Eco Branch,10654
Lole Bulchana Eco Br,10655
Halila Eco Branch,10656
Samera Kolba Eco,10657
Lenjiso Diga Eco,10658
Godino Eco Branch,10659
Tullu Jada Eco-Branch,10660
Dire Eco Branch,10661
Hadho Eco Branch,10662
Baka Ijo Eco-Branch,10663
Adadi Eco Branch,10664
Kotoba Eco Branch,10666
Bodda Eco Branch,10667
Guddu Eco Branch,10668
Warqa Qore Eco Branch,10669
Maya Eco Branch,10670
Dire Xiyara Eco Branch,10671
Wasanu Dido Branch,10672
Tulu dhertu Branch,10673
Elwaye Eco-Branch,10674
Dari Kidame Eco-Branch,10675
Gudetu Robale Eco Bran,10676
Birbirsa Kojowa Eco-Br,10677
Gomole Eco-Branch,10678
Oda Roba Eco Branch,10679
Dinsa Eco Branch,10680
Selka Bakaye Eco Br,10681
Holqa Sofumer Eco Bra,10682
Rayitu Branch,10683
Rayan Branch,10684
Lega Jidha Branch,10685
Akako Branch,10686
Tulu Fati Branch,10687
Asgori-Suba Eco Branch,10688
Uta Kaka Eco Branch,10689
Serofta Eco Branch,10690
Ardayta Eco Branch,10691
Haqo Eco Branch,10692
Negele Mexema Eco Br,10693
Kuno Gebeya Eco Branch,10694
Hailamariam Gamada Br,10695
Aster Gano Branch,10696
Chafe Muda Branch,10697
Wami Biratu Branch,10698
Agari Tullu Branch,10699
Col Alemu Qixxeessa Br,10700
Gadisa Biru Branch,10701
Mari Luqe Branch,10702
Yuba Branch,10703
Lema Guya Branch,10704
Oliqa Dingil Branch,10706
Chalalaqi Branch,10707
Komto Branch,10708
Anno Branch,10709
Ako Manoye Branch,10710
Boru Joka Branch,10711
Asmerom Legesse Branch,10712
Raphe Branch,10713
Botor Tolay Branch,10714
Meti Branch,10715
Melka Oboshe Branch,10716
Gara Muktar Eco Branch,10717
Kara Makala Eco Branch,10718
Kase Hija Eco Branch,10719
Hardim Eco Branch,10720
Dire Dawa Free Trade,10721
Falana Eco Branch,10722
Fachatu Eco Branch,10723
Malka Shane Branch,10724
Dusta Eco Branch,10725
Yukiro Kamise Eco-Bran,10726
Gudattu Qarsa Eco Br,10727
Soddo Garbo Eco Branch,10728
Chachu Branch,10729
Chafe Tuma Branch,10731
Gachana Branch,10732
Gebeyehu Gurmu Branch,10733
Ona Jarsayu Branch,10734
Badho Dachas Branch,10735
Laga Jajja Branch,10736
Jimma Sanbate Branch,10738
Yai Malka branch,10739
Golbo branch,10740
Ertu Branch,10741
Darge Branch,10742
Gora Branch,10743
Gada Melba Branch,10744
Koye Fache Branch,10747
Koticha Branch,10748
Konno Branch,10749
Zerihun Wadajo branch,10750
Tokumma branch,10751
Kara Mexi Branch,10752
Shonkola Branch,10753
Allache Branch,10755
Adi-Haki Branch,10756
Enkodo Branch,10757
Adwa Branch,10758
Godena selam,10759
Wukro Branch,10760
Ijo Old Branch,10761
Sharif Kalid Eco-Branc,10762
Biyo Awale Eco-Branch,10763
Bordode Eco-Branch,10764
Oda Nagelle Eco-Branch,10765
Qanxicha Eco-Branch,10766
Udassa Eco-Branch,10767
Qollo Siri Eco-Branch,10768
Aba Goro Eco-Branch,10769
Choche Eco-Branch,10770
Akko Eco-Branch,10771
Gatta Eco-Branch,10772
Challo Eco-Branch,10773
Haso Eco-Branch,10774
Gaba Jimata Eco-Branch,10775
Waqenxira Xijo Eco-Bra,10776
Eddo Eco-Branch,10777
Hisu Eco-Branch,10778
Ambentu Eco-Branch,10779
Dillo Eco-Branch,10780
Burqa Gogeti Branch,10781
Enticho Branch,10782
Edaga Hamus Branch,10783
Lachi Branch,10784
Mehoni Branch,10785
Endaselasie branch,10786
Trade Service Process,10998