Branch Name,District,Branch Code
Head Office,HEAD OFFICE,10001
Adama Branch,ADAMA DISTRICT,10002
Asela Branch,ASELLA DISTRICT,10003
Kersa Main Branch,CENTRAL FINFINE DISTRICT,10004
Hora Arsedi Branch,ADAMA DISTRICT,10005
Shashemene Branch,SHASHEMENE DISTRICT,10006
Nekemte Branch,NEKEMTE DISTRICT,10007
Merkato Branch,CENTRAL FINFINE DISTRICT,10008
Ambo Branch,WESTERN FINFINE DISTRICT,10009
Hawas Branch,ADAMA DISTRICT,10010
Burayu Branch,WESTERN FINFINE DISTRICT,10011
Sheger Branch,CENTRAL FINFINE DISTRICT,10012
Dire Dawa Branch,DIRE DAWA DISTRICT,10013
Seglen Ilu Branch,JIMMA DISTRICT,10014
Bule Hora Branch,HAWASSA DISTRICT,10015
Dambi Dollo Branch,NEKEMTE DISTRICT,10016
Robe Branch,BALE DISTRICT,10017
Torban Obo Branch,ADAMA DISTRICT,10018
Gulele Branch,NORTH FINFINE DISTRICT,10019
Sebeta Ayo Branch,SOUTH FINFINE DISTRICT,10020
Weliso Branch,SOUTH FINFINE DISTRICT,10021
Bole-Nura Hera Branch,ADAMA DISTRICT,10022
Sululta Branch,NORTH FINFINE DISTRICT,10023
Mojo Branch,ADAMA DISTRICT,10024
Arsi Negelle Branch,SHASHEMENE DISTRICT,10025
Kersa Arsi Branch,ASELLA DISTRICT,10026
Bokoji Branch,ASELLA DISTRICT,10027
Eteya Branch,ASELLA DISTRICT,10028
Gimbi Branch,NEKEMTE DISTRICT,10029
Hasasa Branch,SHASHEMENE DISTRICT,10030
Kuyyu Branch,NORTH FINFINE DISTRICT,10031
Sendafa Bake Branch,NORTH FINFINE DISTRICT,10032
Shenen Gibe Branch,JIMMA DISTRICT,10033
Bedessa Branch,CHIRO DISTRICT,10034
Gelan Branch,EASTERN FINFINE DISTRICT,10035
Kolfe Branch,WESTERN FINFINE DISTRICT,10036
Chiro Branch,CHIRO DISTRICT,10037
Jigjiga Branch,DIRE DAWA DISTRICT,10038
Guliso Branch,NEKEMTE DISTRICT,10039
Dilla Branch,HAWASSA DISTRICT,10040
Adola Branch,HAWASSA DISTRICT,10041
Gefersa Branch,WESTERN FINFINE DISTRICT,10042
Meki Branch,ADAMA DISTRICT,10043
Holeta Branch,WESTERN FINFINE DISTRICT,10044
Afren Kelo Branch,DIRE DAWA DISTRICT,10045
Hundene Branch,DIRE DAWA DISTRICT,10046
Babile Branch,DIRE DAWA DISTRICT,10047
Oda Branch,CENTRAL FINFINE DISTRICT,10048
Togo Wuchale Branch,DIRE DAWA DISTRICT,10049
Anger Gute Branch,NEKEMTE DISTRICT,10050
Ginnir Branch,BALE DISTRICT,10051
Odo Shakiso Branch,HAWASSA DISTRICT,10052
Chancho Branch,NORTH FINFINE DISTRICT,10053
Guduru Branch,NEKEMTE DISTRICT,10054
Tulu Bolo Branch,SOUTH FINFINE DISTRICT,10055
Bole Michael Branch,EASTERN FINFINE DISTRICT,10056
Gerji Branch,EASTERN FINFINE DISTRICT,10057
Gedo Branch,WESTERN FINFINE DISTRICT,10058
Robe Dedea Branch,ASELLA DISTRICT,10059
Gidami Branch,NEKEMTE DISTRICT,10060
Gumbichu Branch,ADAMA DISTRICT,10061
Abomsa Branch,ASELLA DISTRICT,10062
Sabian Branch,DIRE DAWA DISTRICT,10063
Bombtera Branch,CENTRAL FINFINE DISTRICT,10064
Shirka Branch,ASELLA DISTRICT,10065
Lega Tafo Branch,NORTH FINFINE DISTRICT,10066
Hawassa Branch,HAWASSA DISTRICT,10067
Gelemso Branch,CHIRO DISTRICT,10068
Uta Wayyu Branch,SHASHEMENE DISTRICT,10069
Karra Qallu Branch,EASTERN FINFINE DISTRICT,10070
Saris Branch,EASTERN FINFINE DISTRICT,10071
Kemise Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10072
Bakannisa Branch,SOUTH FINFINE DISTRICT,10073
Haramaya Branch,DIRE DAWA DISTRICT,10074
Akaki Branch,EASTERN FINFINE DISTRICT,10075
Boku Shenen Branch,ADAMA DISTRICT,10076
Humera Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10077
Ginchi Branch,WESTERN FINFINE DISTRICT,10078
Furi Branch,SOUTH FINFINE DISTRICT,10079
Fiche Branch,NORTH FINFINE DISTRICT,10080
Kotobe Branch,NORTH FINFINE DISTRICT,10081
Kebena Branch,CENTRAL FINFINE DISTRICT,10082
Sebeta Hawas Branch,SOUTH FINFINE DISTRICT,10083
Hirna Branch,CHIRO DISTRICT,10084
Deder Branch,CHIRO DISTRICT,10085
Mekele Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10086
Gonder Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10087
Bethel Branch,WESTERN FINFINE DISTRICT,10088
Bahir Dar Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10089
Dessie Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10090
Guder Branch,WESTERN FINFINE DISTRICT,10091
Sheno Branch,NORTH FINFINE DISTRICT,10092
Hosana Branch,HOSSANA DISTRICT,10093
Wolayita Soddo Branch,HOSSANA DISTRICT,10094
Addisu Gebeya Branch,NORTH FINFINE DISTRICT,10095
Gojam Berenda Branch,CENTRAL FINFINE DISTRICT,10096
Ayer Tena Branch,WESTERN FINFINE DISTRICT,10097
Nedjo Branch,NEKEMTE DISTRICT,10098
Dodola Branch,SHASHEMENE DISTRICT,10099
Hafatessa Branch,DIRE DAWA DISTRICT,10100
Kombolcha Branch,DIRE DAWA DISTRICT,10101
Erer Branch,EASTERN FINFINE DISTRICT,10102
Huruta Branch,ASELLA DISTRICT,10103
Ijo Branch,EASTERN FINFINE DISTRICT,10104
Metema Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10105
Negele Borena Branch,HAWASSA DISTRICT,10106
22 Mazoria Branch,EASTERN FINFINE DISTRICT,10107
Leka Branch,NEKEMTE DISTRICT,10108
Limu Genet Branch,JIMMA DISTRICT,10109
Tirunesh Dibaba Branch,EASTERN FINFINE DISTRICT,10110
Aba Nefso Branch,CENTRAL FINFINE DISTRICT,10111
Lafto Branch,SOUTH FINFINE DISTRICT,10112
Aba Mela Branch,CENTRAL FINFINE DISTRICT,10113
Bedelle Branch,JIMMA DISTRICT,10114
Kofele Branch,SHASHEMENE DISTRICT,10115
Agaro Branch,JIMMA DISTRICT,10116
Bole Medanealem Branch,EASTERN FINFINE DISTRICT,10117
Churchill Branch,CENTRAL FINFINE DISTRICT,10118
Gofa Mazoria Branch,SOUTH FINFINE DISTRICT,10119
Shambu Branch,NEKEMTE DISTRICT,10120
Meskel Flower Branch,CENTRAL FINFINE DISTRICT,10121
Chole Branch,ASELLA DISTRICT,10122
Shire Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10123
Arboye Branch,ASELLA DISTRICT,10124
Mesalemia Branch,CENTRAL FINFINE DISTRICT,10125
Gotera Branch,SOUTH FINFINE DISTRICT,10126
Sire Arsi Branch,ASELLA DISTRICT,10127
Asko Branch,WESTERN FINFINE DISTRICT,10128
Moyale Branch,HAWASSA DISTRICT,10129
Addele Branch,ASELLA DISTRICT,10130
Diksis Branch,ASELLA DISTRICT,10131
Agemsa Branch,CENTRAL FINFINE DISTRICT,10132
Yai Gulele Branch,CENTRAL FINFINE DISTRICT,10133
Sagure Branch,ASELLA DISTRICT,10134
Habe Branch,ASELLA DISTRICT,10135
Fura Branch,HAWASSA DISTRICT,10136
Ferensay Legasiyon Br,NORTH FINFINE DISTRICT,10137
Asosa Branch,NEKEMTE DISTRICT,10138
Yayyo Branch,JIMMA DISTRICT,10139
Abebie Tufa Branch,EASTERN FINFINE DISTRICT,10140
Gambella Branch,JIMMA DISTRICT,10141
Yabello Branch,HAWASSA DISTRICT,10142
Bake Branch,NORTH FINFINE DISTRICT,10143
Dire Hinchini Branch,WESTERN FINFINE DISTRICT,10144
Goba Branch,BALE DISTRICT,10145
Adaba Branch,SHASHEMENE DISTRICT,10146
Muka Turi Branch,NORTH FINFINE DISTRICT,10147
Djibruk Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10148
Gurd Shola Branch,EASTERN FINFINE DISTRICT,10149
Batu Branch,SHASHEMENE DISTRICT,10150
CMC Branch,NORTH FINFINE DISTRICT,10151
Bako Tibe Branch,WESTERN FINFINE DISTRICT,10152
Mizan Aman Branch,JIMMA DISTRICT,10153
Oda Nabe Branch,EASTERN FINFINE DISTRICT,10154
Birbirsa Branch,CENTRAL FINFINE DISTRICT,10155
Leman Branch,SOUTH FINFINE DISTRICT,10156
Derra Branch,NORTH FINFINE DISTRICT,10157
Wayyu Branch,CENTRAL FINFINE DISTRICT,10158
Tepi Branch,JIMMA DISTRICT,10159
Chora Branch,JIMMA DISTRICT,10160
Gida Ayana Branch,NEKEMTE DISTRICT,10161
Wolkite Branch,HOSSANA DISTRICT,10162
Gasara Branch,BALE DISTRICT,10163
Bole Atlas Branch,EASTERN FINFINE DISTRICT,10164
Mogor Branch,WESTERN FINFINE DISTRICT,10165
Jamo Branch,SOUTH FINFINE DISTRICT,10166
Uraga Branch,HAWASSA DISTRICT,10167
Adea Branch,ADAMA DISTRICT,10168
Lamberet Branch,NORTH FINFINE DISTRICT,10169
Dhaka Adi Branch,ADAMA DISTRICT,10170
Kilole Branch,ADAMA DISTRICT,10171
Siltana Branch,ASELLA DISTRICT,10172
Wirtu Merkato Branch,CENTRAL FINFINE DISTRICT,10173
Gofa Gabriel Branch,SOUTH FINFINE DISTRICT,10174
Dale Dembel Branch,NORTH FINFINE DISTRICT,10175
Arba Minch Branch,HOSSANA DISTRICT,10176
Wasarbi Branch,NORTH FINFINE DISTRICT,10177
Karayu Branch,ADAMA DISTRICT,10178
Shenen Jida Branch,NORTH FINFINE DISTRICT,10179
Haile Gebre Branch,EASTERN FINFINE DISTRICT,10180
Guje Branch,WESTERN FINFINE DISTRICT,10181
Melka Ballo Branch,CHIRO DISTRICT,10182
Nonno Branch,SOUTH FINFINE DISTRICT,10183
Awash Sebat Kilo,ADAMA DISTRICT,10184
Dolo Bidena Branch,CENTRAL FINFINE DISTRICT,10185
Jimma Arjo Branch,NEKEMTE DISTRICT,10186
Ejere Branch,WESTERN FINFINE DISTRICT,10187
Awash Melkasa Branch,ADAMA DISTRICT,10188
Bosat Branch,ADAMA DISTRICT,10189
Dodota Branch,ASELLA DISTRICT,10190
Bote Branch,ADAMA DISTRICT,10191
Awasho Branch,SHASHEMENE DISTRICT,10192
Warra Jarso Branch,NORTH FINFINE DISTRICT,10193
Jahan Ameya Branch,SOUTH FINFINE DISTRICT,10194
Midakegni Branch,WESTERN FINFINE DISTRICT,10195
Bole Bulbula Branch,EASTERN FINFINE DISTRICT,10196
Agarfa Branch,BALE DISTRICT,10197
Darimu Branch,JIMMA DISTRICT,10198
Asandabo Branch,JIMMA DISTRICT,10199
Ukke Branch,NEKEMTE DISTRICT,10200
Chanqa Birbir Branch,NEKEMTE DISTRICT,10201
Leka Dulacha Branch,NEKEMTE DISTRICT,10202
Warqa Branch,SHASHEMENE DISTRICT,10203
Nunu Kumba Branch,NEKEMTE DISTRICT,10204
Jimma Rare Branch,NEKEMTE DISTRICT,10205
Qurqura Branch,ADAMA DISTRICT,10206
Sibu Sire Branch,NEKEMTE DISTRICT,10207
Ganji Branch,NEKEMTE DISTRICT,10208
Mandi Branch,NEKEMTE DISTRICT,10209
Begi Branch,NEKEMTE DISTRICT,10210
Kiltu Karra Branch,NEKEMTE DISTRICT,10211
Dambi Branch,JIMMA DISTRICT,10212
Jiren Branch,JIMMA DISTRICT,10213
Dawo Branch,SOUTH FINFINE DISTRICT,10214
Soddo Dachi Branch,SOUTH FINFINE DISTRICT,10215
Meta Walkite Branch,WESTERN FINFINE DISTRICT,10216
Oda Karra Branch,NEKEMTE DISTRICT,10217
Muka Arara Branch,NEKEMTE DISTRICT,10218
Hababo Guduru Branch,NEKEMTE DISTRICT,10219
Ilu Gelan Branch,WESTERN FINFINE DISTRICT,10220
Qeto Machara Branch,NEKEMTE DISTRICT,10221
Finfine Branch,CENTRAL FINFINE DISTRICT,10222
Lume Branch,SOUTH FINFINE DISTRICT,10223
Dolo Mana Branch,BALE DISTRICT,10224
Mulo Branch,NORTH FINFINE DISTRICT,10225
Xicho Branch,ASELLA DISTRICT,10226
Goro Branch,BALE DISTRICT,10227
Mada Walabu Branch,BALE DISTRICT,10228
Harufa Branch,SHASHEMENE DISTRICT,10229
Anfillo Branch,NEKEMTE DISTRICT,10230
Qore Branch,SHASHEMENE DISTRICT,10231
Haro Dumal Branch,BALE DISTRICT,10232
Harana Buluq Branch,BALE DISTRICT,10233
Kula Branch,ASELLA DISTRICT,10234
Chalchali Branch,SOUTH FINFINE DISTRICT,10235
Sadan Ekka Branch,EASTERN FINFINE DISTRICT,10236
Alge Sachi Branch,JIMMA DISTRICT,10237
Shararo Branch,NORTH FINFINE DISTRICT,10238
Laga Oda Branch,DIRE DAWA DISTRICT,10239
Qarcha Branch,HAWASSA DISTRICT,10240
Ada Barga Branch,WESTERN FINFINE DISTRICT,10241
Chinaksen Branch,DIRE DAWA DISTRICT,10242
Gode Branch,DIRE DAWA DISTRICT,10243
Boke Xiqo Branch,CHIRO DISTRICT,10244
Badano Branch,DIRE DAWA DISTRICT,10245
Aw-Abadir Branch,DIRE DAWA DISTRICT,10246
Chalanqo Branch,DIRE DAWA DISTRICT,10247
Kali Branch,DIRE DAWA DISTRICT,10248
Sulula Garbi Branch,CENTRAL FINFINE DISTRICT,10249
Negelle Arba Gugu Br,ASELLA DISTRICT,10250
Gololcha Branch,ASELLA DISTRICT,10251
Gera Branch,JIMMA DISTRICT,10252
Tullu Ejersa Branch,SOUTH FINFINE DISTRICT,10253
Chilalo Branch,ASELLA DISTRICT,10254
Aleltu Branch,NORTH FINFINE DISTRICT,10255
Limu Seqqa Branch,JIMMA DISTRICT,10256
Ela Bala Branch,ADAMA DISTRICT,10257
Eka Abado Branch,EASTERN FINFINE DISTRICT,10258
Tabor Branch,HAWASSA DISTRICT,10259
Bale Gesgar Branch,ASELLA DISTRICT,10260
Bole Lami Branch,EASTERN FINFINE DISTRICT,10261
Abuna Branch,WESTERN FINFINE DISTRICT,10262
Jaldu Branch,WESTERN FINFINE DISTRICT,10263
Adami Branch,NORTH FINFINE DISTRICT,10264
Ajje Branch,SHASHEMENE DISTRICT,10265
Mujja Branch,NORTH FINFINE DISTRICT,10266
Derartu Tullu Branch,ADAMA DISTRICT,10267
Baroda Branch,CHIRO DISTRICT,10268
Gara Muleta Branch,DIRE DAWA DISTRICT,10269
Sadan Soddo Branch,SOUTH FINFINE DISTRICT,10270
Sayo Nole Branch,NEKEMTE DISTRICT,10271
Karra Xuxxo Branch,NORTH FINFINE DISTRICT,10272
Kiramu Branch,NEKEMTE DISTRICT,10273
Amuru Branch,NEKEMTE DISTRICT,10274
Gore Branch,JIMMA DISTRICT,10275
Melka Jebdu Branch,DIRE DAWA DISTRICT,10276
Fugnan Bira Branch,DIRE DAWA DISTRICT,10277
Wanji Branch,ADAMA DISTRICT,10278
Bulbula Branch,SHASHEMENE DISTRICT,10279
Qechema Branch,ADAMA DISTRICT,10280
Karamile Branch,CHIRO DISTRICT,10281
Greek Camp Branch,DIRE DAWA DISTRICT,10282
Megalla Branch,DIRE DAWA DISTRICT,10283
Weltea Branch,DIRE DAWA DISTRICT,10284
Chafe Branch,ADAMA DISTRICT,10285
Jarra Branch,BALE DISTRICT,10286
Kokosa Branch,SHASHEMENE DISTRICT,10287
Heban Arsi Branch,SHASHEMENE DISTRICT,10288
Bantu Branch,SOUTH FINFINE DISTRICT,10289
Bokku Branch,NEKEMTE DISTRICT,10290
Kombe Branch,WESTERN FINFINE DISTRICT,10291
Labu Branch,SOUTH FINFINE DISTRICT,10292
Karra Allo Branch,NORTH FINFINE DISTRICT,10293
Mechara Branch,CHIRO DISTRICT,10294
Jahan Jarso Branch,DIRE DAWA DISTRICT,10295
Shenen Dhugo Branch,CHIRO DISTRICT,10296
Taji Branch,SOUTH FINFINE DISTRICT,10297
Yaya Gulale Branch,NORTH FINFINE DISTRICT,10298
Bore Branch,HAWASSA DISTRICT,10299
Asgori Branch,SOUTH FINFINE DISTRICT,10300
Olonkomi Branch,WESTERN FINFINE DISTRICT,10301
Shufune Branch,NORTH FINFINE DISTRICT,10302
Kutaye Branch,WESTERN FINFINE DISTRICT,10303
Torban Wale Branch,SOUTH FINFINE DISTRICT,10304
Qorke Karabu Branch,SOUTH FINFINE DISTRICT,10305
Ayetu Branch,SOUTH FINFINE DISTRICT,10306
Odo Liben Branch,WESTERN FINFINE DISTRICT,10307
Melka Gefersa Branch,WESTERN FINFINE DISTRICT,10308
Ochocha Branch,SOUTH FINFINE DISTRICT,10309
Butajira Branch,HOSSANA DISTRICT,10310
Yirgachafe Branch,HAWASSA DISTRICT,10311
Gafarsa Nono,WESTERN FINFINE DISTRICT,10312
Aba Jifar Branch,JIMMA DISTRICT,10313
Mettu Branch,JIMMA DISTRICT,10314
Bake Jama Branch,NEKEMTE DISTRICT,10315
Bila Branch,NEKEMTE DISTRICT,10316
Hawa Gelan Branch,NEKEMTE DISTRICT,10317
Tullu Gana Branch,NEKEMTE DISTRICT,10318
Ayira Branch,NEKEMTE DISTRICT,10319
Liban Jawi Branch,WESTERN FINFINE DISTRICT,10320
Salgan Eggu Branch,NORTH FINFINE DISTRICT,10321
Karra Qore Branch,WESTERN FINFINE DISTRICT,10322
Dhadacha Arara Branch,ADAMA DISTRICT,10323
Abba Jama Branch,ASELLA DISTRICT,10324
Boru Jawi Branch,ASELLA DISTRICT,10325
Dabe Soloke Branch,ADAMA DISTRICT,10326
Oda Bisil Branch,WESTERN FINFINE DISTRICT,10327
Dire Sololiya,WESTERN FINFINE DISTRICT,10328
Sechduna Branch,HOSSANA DISTRICT,10329
Hurufa Rare Branch,CENTRAL FINFINE DISTRICT,10330
Chafe Arara Branch,NORTH FINFINE DISTRICT,10331
Kuyera Branch,SHASHEMENE DISTRICT,10332
Qajela Doyo Branch,WESTERN FINFINE DISTRICT,10333
GeneralWakoGutu Branch,BALE DISTRICT,10334
Ali Branch,BALE DISTRICT,10335
Halaba Kulito Branch,HOSSANA DISTRICT,10336
Dolosebro Branch,BALE DISTRICT,10337
Kobo Branch,CHIRO DISTRICT,10338
Jara Abageda Branch,DIRE DAWA DISTRICT,10339
Michata Branch,CHIRO DISTRICT,10340
Ahmed Imam Branch,DIRE DAWA DISTRICT,10341
Hirmata Branch,JIMMA DISTRICT,10342
Merde Branch,SOUTH FINFINE DISTRICT,10343
Bonaya Boshe Branch,NEKEMTE DISTRICT,10344
Gudetu Arjo Branch,NEKEMTE DISTRICT,10345
Oda Bilbila Branch,SHASHEMENE DISTRICT,10346
Bishan Guracha Branch,SHASHEMENE DISTRICT,10347
Koka Branch,ADAMA DISTRICT,10348
Burka Branch,ADAMA DISTRICT,10349
Ganda Hara Branch,ADAMA DISTRICT,10350
Kiltu Lume Branch,ADAMA DISTRICT,10351
Warka Branch,HAWASSA DISTRICT,10352
Abichu Nya'a Branch,NORTH FINFINE DISTRICT,10353
Gawassa Branch,EASTERN FINFINE DISTRICT,10354
Tufa Muna Branch,NORTH FINFINE DISTRICT,10355
Shabe Branch,JIMMA DISTRICT,10356
Awetu Branch,JIMMA DISTRICT,10357
Gachi Branch,JIMMA DISTRICT,10358
Sokoru Branch,JIMMA DISTRICT,10359
Omo Nada Branch,JIMMA DISTRICT,10360
Goro Muti Branch,DIRE DAWA DISTRICT,10361
Makkat Al-Mukkarama,WESTERN FINFINE DISTRICT,10362
Tana Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10363
Bole Arabsa Branch,EASTERN FINFINE DISTRICT,10364
Xadacha Branch,EASTERN FINFINE DISTRICT,10365
Anole Micro Branch,ASELLA DISTRICT,10366
Meraro Branch,ASELLA DISTRICT,10367
Burka Walabu Branch,BALE DISTRICT,10368
Hara Kello Branch,HAWASSA DISTRICT,10369
Gara Baru Branch,ADAMA DISTRICT,10370
Ogolcho Branch,ASELLA DISTRICT,10371
Haro Adi Branch,ADAMA DISTRICT,10372
Baro Korma Branch,CENTRAL FINFINE DISTRICT,10373
JAJA BRANCH,CHIRO DISTRICT,10374
Doba Branch,CHIRO DISTRICT,10375
Wadessa Branch,WESTERN FINFINE DISTRICT,10376
Sheik Mohammed Reshad,CHIRO DISTRICT,10377
Sumuda Branch,HAWASSA DISTRICT,10378
Wadera Branch,HAWASSA DISTRICT,10379
Taltale Branch,HAWASSA DISTRICT,10380
Ganda Wuha Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10381
Qebe Branch,NEKEMTE DISTRICT,10382
Debre Markos Branch,BAHIRDAR AREA BR RELATIONSHIP OFFIC,10383
Boku Migra Bake Branch,WESTERN FINFINE DISTRICT,10384
Goro Qerensa Branch,WESTERN FINFINE DISTRICT,10385
Bilile Branch,NORTH FINFINE DISTRICT,10386
Sigmo Branch,JIMMA DISTRICT,10387
Handhura Tulama Branch,EASTERN FINFINE DISTRICT,10388
Aksum Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10389
Adigrat Branch,MEKELE AREA BR RELATIONSHIP OFFICE,10390
Laga Bari Branch,NORTH FINFINE DISTRICT,10391
Wara Ganu Branch,EASTERN FINFINE DISTRICT,10392
Biftu Branch,DIRE DAWA DISTRICT,10393
Bensa Daye Branch,HAWASSA DISTRICT,10394
Sora Lume Branch,CENTRAL FINFINE DISTRICT,10395
